Title,Estado,Edad,Tematica,Inicio_evento,Fin_evento,Lugar,Created
9236,confirmado,5,Superhéroes,2024-08-31T17:30:00Z,2024-08-31T20:00:00Z,Salón,2024-03-17T22:19:27Z
9237,confirmado,1,Animales de la selva,2024-07-21T16:00:00Z,2024-07-21T21:00:00Z,SUM,2024-03-18T00:01:44Z
9238,confirmado,3,minnie,2024-06-30T14:00:00Z,2024-06-30T17:00:00Z,Salón,2024-03-18T01:33:58Z
9258,confirmado,1,Zorritos,2024-06-15T16:00:00Z,2024-06-15T22:00:00Z,Quinta,2024-03-19T01:36:16Z
9260,confirmado,5, ENCANTO ,2024-06-09T13:45:00Z,2024-06-09T03:00:00Z,Salón,2024-03-19T13:49:43Z
9264,confirmado,5,Minnie rosa,2024-05-12T18:00:00Z,2024-05-12T21:30:00Z,Casa,2024-03-19T19:47:04Z
9266,confirmado,1,Pokemon,2024-05-12T16:00:00Z,2024-05-12T19:00:00Z,SUM,2024-03-19T20:39:16Z
9269,finalizado,1,abejita,2024-05-18T19:30:00Z,2024-05-18T03:00:00Z,Otro,2024-03-20T14:15:06Z
9267,finalizado,1,Safari,2024-06-09T15:00:00Z,2024-06-09T22:30:00Z,SUM,2024-03-20T22:13:45Z
6854,confirmado,40,shimmer,2024-06-02T00:00:00Z,2024-06-01T03:00:00Z,Salón,2024-03-21T18:15:35Z
9287,confirmado,2,La Granja de Zenón,2024-06-22T13:00:00Z,2024-06-22T19:00:00Z,Salón,2024-03-22T15:03:16Z
9289,confirmado,1,confirmar,2024-09-29T17:13:00Z,2024-09-29T03:00:00Z,Casa,2024-03-22T17:20:15Z
9293,confirmado,1,Mickey safari,2024-07-07T14:30:00Z,2024-07-07T17:30:00Z,Salón,2024-03-23T17:24:57Z
9294,confirmado,1,Ardillita,2024-07-24T19:00:00Z,2024-07-24T23:00:00Z,Salón,2024-03-24T14:08:38Z
9299,confirmado,1,Safari ,2024-07-08T15:00:00Z,2024-07-08T21:00:00Z,Salón,2024-03-24T14:45:45Z
9302,confirmado,1,pasteles,2024-05-18T20:00:00Z,2024-05-19T01:00:00Z,Salón,2024-03-24T16:50:56Z
9305,confirmado,3,Paw patrol,2024-07-28T17:30:00Z,2024-07-28T20:00:00Z,Salón,2024-03-25T13:09:37Z
9308,confirmado,1,conejita,2024-05-18T16:00:00Z,2024-05-18T03:00:00Z,Salón,2024-03-25T13:49:20Z
9311,confirmado,2,n/a,2024-06-01T18:00:00Z,2024-06-01T03:00:00Z,Casa,2024-03-25T16:33:24Z
9313,confirmado,1,Margaritas,2024-08-03T15:30:00Z,2024-08-03T20:30:00Z,SUM,2024-03-25T16:44:27Z
9314,confirmado,5,Spaiderman,2024-09-15T20:00:00Z,2024-09-15T23:00:00Z,Salón,2024-03-25T17:35:29Z
9317,confirmado,1,arcoiris,2024-05-12T16:30:00Z,2024-05-12T20:30:00Z,Salón,2024-03-25T21:44:33Z
9319,confirmado,5,Spaiderman,2024-09-15T20:00:00Z,2024-09-15T23:00:00Z,Salón,2024-03-25T23:59:44Z
9320,confirmado,3,Skye de Paw Patrol,2024-06-13T19:45:00Z,2024-06-13T22:15:00Z,Salón,2024-03-26T00:46:58Z
9322,confirmado,1,Piglet bebe (cerdito de Winnie Pooh version bebe),2024-05-18T14:00:00Z,2024-05-18T19:00:00Z,SUM,2024-03-26T13:19:23Z
9324,confirmado,3,mario,2024-07-14T16:00:00Z,2024-07-14T21:00:00Z,Quinta,2024-03-27T16:54:05Z
9377,confirmado,1,Kermesse y circo,2024-12-07T19:30:00Z,2024-12-07T23:30:00Z,Quinta,2024-03-28T11:29:33Z
9379,finalizado,1,Dinos,2024-06-09T16:00:00Z,2024-06-09T19:00:00Z,Salón,2024-03-28T13:33:36Z
9381,confirmado,5,Minnie,2024-05-12T18:00:00Z,2024-05-12T21:30:00Z,Casa,2024-03-28T18:14:18Z
9385,confirmado,1,Minnie mouse (rosa pastel. Blanco y golden rose),2024-06-08T19:00:00Z,2024-06-09T02:00:00Z,Casa,2024-04-01T14:11:51Z
9387,finalizado,2,animales de la selva,2024-06-05T17:30:00Z,2024-06-05T21:30:00Z,SUM,2024-04-02T16:33:30Z
9388,completado,0,N/a,2024-09-15T16:36:00Z,2024-09-15T03:00:00Z,Salón,2024-04-02T16:38:16Z
9389,finalizado,0,FRANCESCO ,2024-05-19T21:29:00Z,2024-05-20T00:30:00Z,Salón,2024-04-02T16:41:34Z
9390,confirmado,2,Masha y el oso,2024-08-30T16:41:00Z,2024-08-30T03:00:00Z,Salón,2024-04-02T16:44:17Z
9392,confirmado,0,Bautismo,2024-07-13T17:00:00Z,2024-07-13T21:00:00Z,SUM,2024-04-02T22:03:39Z
9393,confirmado,7,Dinosaurios,2024-05-15T15:15:00Z,2024-05-15T18:00:00Z,Salón,2024-04-02T22:09:03Z
9395,confirmado,1,Bartolito y la granja de Zenon,2024-07-06T21:00:00Z,2024-07-07T00:00:00Z,Salón,2024-04-03T00:19:20Z
9404,completado,1,No está definido aún,2024-07-21T16:00:00Z,2024-07-21T21:00:00Z,Salón,2024-04-04T01:45:07Z
9410,confirmado,7,Dinosaurios,2024-05-15T15:15:00Z,2024-05-15T18:00:00Z,Salón,2024-04-04T14:24:56Z
9411,confirmado,1,Espacial (estilo bebé),2024-09-21T18:00:00Z,2024-09-21T21:00:00Z,SUM,2024-04-04T15:44:53Z
9412,confirmado,1,Safari premium,2024-11-10T16:00:00Z,2024-11-10T21:00:00Z,Quinta,2024-04-04T18:07:51Z
9413,confirmado,1,Mariposa gallinita pintadita,2024-06-29T07:00:00Z,2024-06-29T09:00:00Z,Salón,2024-04-04T22:45:02Z
9415,confirmado,7,Stich,2024-06-28T18:00:00Z,2024-06-28T03:00:00Z,SUM,2024-04-05T13:35:54Z
9414,finalizado,1,Jefe en pañales ,2024-06-02T16:00:00Z,2024-06-02T03:00:00Z,SUM,2024-04-05T13:38:37Z
9416,confirmado,4,Encanto,2024-05-19T19:00:00Z,2024-05-19T22:00:00Z,Salón,2024-04-05T15:51:11Z
9421,finalizado,2,disney,2024-06-23T16:00:00Z,2024-06-23T19:00:00Z,Salón,2024-04-05T18:57:56Z
9426,confirmado,5,Plants vs zombies,2024-05-16T18:00:00Z,2024-05-16T23:00:00Z,SUM,2024-04-06T00:25:15Z
9424,finalizado,4,Toy story,2024-06-08T16:00:00Z,2024-06-08T19:00:00Z,Salón,2024-04-08T15:34:39Z
9434,confirmado,3,no,2024-06-05T17:00:00Z,2024-06-05T22:00:00Z,Casa,2024-04-08T17:11:16Z
9436,finalizado,1,nimalitos del bosque,2024-05-18T15:00:00Z,2024-05-18T19:00:00Z,Salón,2024-04-08T19:58:10Z
9441,finalizado,4,super heroes,2024-05-12T13:28:00Z,2024-05-12T03:00:00Z,Salón,2024-04-09T13:33:15Z
9442,confirmado,6,Sonic y Shadow,2024-06-09T17:30:00Z,2024-06-09T20:00:00Z,Salón,2024-04-09T14:10:36Z
9444,confirmado,31,Boda Civil,2024-05-14T23:00:00Z,2024-05-15T02:30:00Z,Salón,2024-04-09T14:47:42Z
9445,confirmado,5,Barbie,2024-05-19T14:00:00Z,2024-05-19T16:00:00Z,Salón,2024-04-09T16:08:43Z
